0.04700	-0.01413	-0.60138	-12.79310	0.00764	0.32492	6.90985	0.00472	0.20093	4.27560	
0.04800	-0.01474	-0.61417	-12.79285	0.00796	0.33183	6.90947	0.00492	0.20521	4.27565	
0.04900	-0.01536	-0.62697	-12.79259	0.00830	0.33874	6.90908	0.00513	0.20948	4.27570	
0.05000	-0.01599	-0.63976	-12.79231	0.00864	0.34565	6.90865	0.00534	0.21376	4.27576	
0.05100	-0.01664	-0.65255	-12.79201	0.00899	0.35256	6.90820	0.00556	0.21804	4.27581	
0.05200	-0.01730	-0.66534	-12.79170	0.00935	0.35947	6.90772	0.00578	0.22231	4.27587	
0.05300	-0.01797	-0.67814	-12.79137	0.00971	0.36637	6.90722	0.00600	0.22659	4.27594	
0.05400	-0.01866	-0.69093	-12.79101	0.01008	0.37328	6.90668	0.00623	0.23086	4.27600	
0.05500	-0.01935	-0.70372	-12.79064	0.01046	0.38019	6.90612	0.00647	0.23514	4.27608	
0.05600	-0.02006	-0.71651	-12.79025	0.01084	0.38709	6.90552	0.00670	0.23942	4.27615	
0.05700	-0.02079	-0.72930	-12.78983	0.01123	0.39400	6.90489	0.00694	0.24369	4.27623	
0.05800	-0.02152	-0.74209	-12.78939	0.01163	0.40090	6.90423	0.00719	0.24797	4.27631	
0.05900	-0.02227	-0.75488	-12.78893	0.01203	0.40781	6.90353	0.00744	0.25224	4.27640	
0.06000	-0.02303	-0.76767	-12.78845	0.01244	0.41471	6.90279	0.00770	0.25652	4.27650	
0.06100	-0.02381	-0.78045	-12.78794	0.01286	0.42161	6.90202	0.00795	0.26080	4.27659	
0.06200	-0.02459	-0.79324	-12.78740	0.01329	0.42851	6.90121	0.00822	0.26507	4.27670	
0.06300	-0.02539	-0.80603	-12.78684	0.01372	0.43542	6.90035	0.00848	0.26935	4.27680	
0.06400	-0.02620	-0.81881	-12.78625	0.01416	0.44232	6.89946	0.00876	0.27363	4.27692	
0.06500	-0.02703	-0.83160	-12.78563	0.01460	0.44921	6.89852	0.00903	0.27790	4.27703	
0.06600	-0.02787	-0.84439	-12.78498	0.01506	0.45611	6.89754	0.00931	0.28218	4.27716	
0.06700	-0.02872	-0.85717	-12.78430	0.01552	0.46301	6.89651	0.00960	0.28646	4.27729	
0.06800	-0.02958	-0.86995	-12.78360	0.01598	0.46991	6.89544	0.00988	0.29074	4.27742	
0.06900	-0.03046	-0.88274	-12.78285	0.01646	0.47680	6.89432	0.01018	0.29501	4.27757	
0.07000	-0.03135	-0.89552	-12.78208	0.01694	0.48369	6.89315	0.01047	0.29929	4.27771	
0.07100	-0.03225	-0.90830	-12.78127	0.01742	0.49059	6.89192	0.01078	0.30357	4.27787	
0.07200	-0.03316	-0.92108	-12.78043	0.01792	0.49748	6.89065	0.01108	0.30785	4.27803	
0.07300	-0.03409	-0.93386	-12.77955	0.01842	0.50437	6.88932	0.01139	0.31213	4.27820	
0.07400	-0.03503	-0.94664	-12.77864	0.01893	0.51126	6.88793	0.01171	0.31640	4.27837	
0.07500	-0.03598	-0.95942	-12.77769	0.01944	0.51814	6.88649	0.01202	0.32068	4.27855	
0.07600	-0.03695	-0.97220	-12.77670	0.01996	0.52503	6.88499	0.01235	0.32496	4.27874	
0.07700	-0.03793	-0.98497	-12.77567	0.02049	0.53191	6.88342	0.01267	0.32924	4.27894	
0.07800	-0.03892	-0.99775	-12.77459	0.02103	0.53880	6.88180	0.01301	0.33352	4.27915	
0.07900	-0.03992	-1.01052	-12.77348	0.02157	0.54568	6.88011	0.01334	0.33780	4.27936	
0.08000	-0.04094	-1.02330	-12.77232	0.02212	0.55256	6.87836	0.01368	0.34208	4.27958	
0.08100	-0.04197	-1.03607	-12.77112	0.02267	0.55943	6.87654	0.01403	0.34636	4.27981	
0.08200	-0.04301	-1.04884	-12.76988	0.02324	0.56631	6.87465	0.01437	0.35064	4.28005	
0.08300	-0.04407	-1.06161	-12.76858	0.02381	0.57318	6.87269	0.01473	0.35492	4.28030	
0.08400	-0.04514	-1.07437	-12.76724	0.02438	0.58006	6.87066	0.01508	0.35920	4.28055	
0.08500	-0.04622	-1.08714	-12.76586	0.02497	0.58692	6.86856	0.01544	0.36348	4.28082	
0.08600	-0.04731	-1.09991	-12.76442	0.02556	0.59379	6.86638	0.01581	0.36776	4.28109	
0.08700	-0.04842	-1.11267	-12.76293	0.02615	0.60066	6.86412	0.01618	0.37204	4.28138	
0.08800	-0.04954	-1.12543	-12.76139	0.02676	0.60752	6.86179	0.01655	0.37632	4.28167	
0.08900	-0.05067	-1.13819	-12.75979	0.02737	0.61438	6.85937	0.01693	0.38060	4.28198	
0.09000	-0.05181	-1.15095	-12.75814	0.02799	0.62124	6.85687	0.01732	0.38489	4.28229	
0.09100	-0.05297	-1.16371	-12.75644	0.02861	0.62809	6.85429	0.01770	0.38917	4.28262	
0.09200	-0.05414	-1.17646	-12.75468	0.02924	0.63495	6.85162	0.01809	0.39345	4.28295	
0.09300	-0.05532	-1.18922	-12.75286	0.02988	0.64180	6.84886	0.01849	0.39773	4.28330	
0.09400	-0.05652	-1.20197	-12.75098	0.03053	0.64865	6.84601	0.01889	0.40202	4.28366	
0.09500	-0.05773	-1.21472	-12.74904	0.03118	0.65549	6.84307	0.01929	0.40630	4.28403	
0.09600	-0.05895	-1.22747	-12.74703	0.03184	0.66233	6.84004	0.01970	0.41059	4.28441	
0.09700	-0.06018	-1.24021	-12.74497	0.03250	0.66917	6.83691	0.02011	0.41487	4.28480	
0.09800	-0.06143	-1.25296	-12.74284	0.03318	0.67601	6.83368	0.02053	0.41916	4.28521	
0.09900	-0.06269	-1.26570	-12.74064	0.03385	0.68284	6.83036	0.02095	0.42344	4.28563	
0.10000	-0.06396	-1.27844	-12.73838	0.03454	0.68967	6.82693	0.02138	0.42773	4.28606	
0.10100	-0.06524	-1.29118	-12.73605	0.03523	0.69649	6.82340	0.02181	0.43201	4.28651	
